t,i,j,C1,C2
5405.0,1613,1672,MP*1,MP*1
5405.0,635,643,PC,PC
5405.0,654,694,PC,PC
5406.0,1170,1613,MP*1,MP*1
5406.0,623,692,PC,PC
5406.0,620,669,MP*2,MP*2
5406.0,635,643,PC,PC
5406.0,654,694,PC,PC
5407.0,1170,1613,MP*1,MP*1
5407.0,623,692,PC,PC
5407.0,605,695,MP*2,MP*2
5407.0,620,669,MP*2,MP*2
5407.0,635,643,PC,PC
5407.0,643,654,PC,PC
5407.0,654,694,PC,PC
5408.0,620,669,MP*2,MP*2
5408.0,813,860,PSI*,PSI*
5408.0,1170,1613,MP*1,MP*1
5409.0,620,669,MP*2,MP*2
5409.0,1170,1613,MP*1,MP*1
5409.0,635,643,PC,PC
5409.0,813,860,PSI*,PSI*
5410.0,1170,1613,MP*1,MP*1
5410.0,661,681,PC,PC
5410.0,813,860,PSI*,PSI*
5410.0,1170,1672,MP*1,MP*1
5410.0,635,643,PC,PC
5410.0,654,694,PC,PC
5411.0,1170,1613,MP*1,MP*1
5411.0,813,860,PSI*,PSI*
5411.0,660,681,PC,PC
5411.0,635,643,PC,PC
5412.0,830,860,PSI*,PSI*
5412.0,1170,1613,MP*1,MP*1
5413.0,830,860,PSI*,PSI*
5413.0,635,643,PC,PC
5414.0,830,860,PSI*,PSI*
5414.0,1170,1613,MP*1,MP*1
5414.0,635,643,PC,PC
5415.0,892,893,PC*,PC*
5415.0,1170,1613,MP*1,MP*1
5415.0,623,654,PC,PC
5415.0,810,868,PSI*,PSI*
5415.0,635,643,PC,PC
5416.0,830,860,PSI*,PSI*
5416.0,1170,1613,MP*1,MP*1
5416.0,635,643,PC,PC
5416.0,605,621,MP*2,MP*2
5417.0,1170,1613,MP*1,MP*1
5418.0,1170,1672,MP*1,MP*1
5418.0,1170,1613,MP*1,MP*1
5418.0,635,643,PC,PC
5418.0,605,621,MP*2,MP*2
5419.0,892,893,PC*,PC*
5419.0,690,807,PC,PC*
5419.0,1170,1613,MP*1,MP*1
5419.0,635,643,PC,PC
5420.0,1170,1613,MP*1,MP*1
5420.0,623,654,PC,PC
5420.0,635,643,PC,PC
5420.0,1148,1686,MP*1,MP*1
5421.0,654,692,PC,PC
5421.0,1170,1613,MP*1,MP*1
5421.0,635,643,PC,PC
5421.0,1632,1671,MP*1,MP*1
5422.0,1170,1613,MP*1,MP*1
5422.0,627,635,PC,PC
5422.0,635,643,PC,PC
5423.0,1170,1613,MP*1,MP*1
5423.0,635,643,PC,PC
5424.0,810,868,PSI*,PSI*
5424.0,1632,1671,MP*1,MP*1
5424.0,635,643,PC,PC
5425.0,623,692,PC,PC
5425.0,1645,1649,MP*1,MP*1
5425.0,810,868,PSI*,PSI*
5425.0,635,643,PC,PC
5426.0,623,654,PC,PC
5426.0,635,643,PC,PC
5427.0,1170,1613,MP*1,MP*1
5427.0,635,643,PC,PC
5428.0,635,643,PC,PC
5429.0,838,852,PSI*,PSI*
5429.0,635,643,PC,PC
5430.0,623,654,PC,PC
5430.0,660,681,PC,PC
5430.0,635,643,PC,PC
5431.0,660,681,PC,PC
5431.0,635,643,PC,PC
5432.0,660,681,PC,PC
5432.0,635,643,PC,PC
5433.0,1170,1613,MP*1,MP*1
5433.0,660,681,PC,PC
5433.0,635,643,PC,PC
5433.0,627,643,PC,PC
5434.0,1170,1613,MP*1,MP*1
5434.0,660,681,PC,PC
5434.0,635,643,PC,PC
5435.0,813,838,PSI*,PSI*
5435.0,660,681,PC,PC
5435.0,810,868,PSI*,PSI*
5435.0,635,643,PC,PC
5436.0,813,838,PSI*,PSI*
5436.0,660,681,PC,PC
5436.0,635,643,PC,PC
5437.0,851,860,PSI*,PSI*
5437.0,635,643,PC,PC
5437.0,1632,1671,MP*1,MP*1
5437.0,627,643,PC,PC
5438.0,803,807,PC*,PC*
5438.0,681,683,PC,PC
5438.0,635,643,PC,PC
5439.0,813,838,PSI*,PSI*
5439.0,838,852,PSI*,PSI*
5439.0,813,852,PSI*,PSI*
5439.0,635,643,PC,PC
5440.0,851,860,PSI*,PSI*
5440.0,813,838,PSI*,PSI*
5440.0,838,852,PSI*,PSI*
5440.0,681,683,PC,PC
5440.0,813,852,PSI*,PSI*
5440.0,635,643,PC,PC
5440.0,654,694,PC,PC
5441.0,1170,1672,MP*1,MP*1
5441.0,681,683,PC,PC
5441.0,654,694,PC,PC
5442.0,813,852,PSI*,PSI*
5442.0,635,643,PC,PC
5443.0,1170,1672,MP*1,MP*1
5443.0,813,852,PSI*,PSI*
5443.0,681,683,PC,PC
5443.0,635,643,PC,PC
5444.0,1170,1672,MP*1,MP*1
5444.0,813,852,PSI*,PSI*
5445.0,813,852,PSI*,PSI*
5445.0,605,685,MP*2,MP*2
5445.0,1632,1671,MP*1,MP*1
5446.0,1170,1672,MP*1,MP*1
5446.0,623,654,PC,PC
5446.0,663,696,PC,PC
5446.0,813,852,PSI*,PSI*
5447.0,875,895,PC*,PC*
5447.0,623,654,PC,PC
5447.0,1644,1660,MP*1,MP*1
5447.0,813,852,PSI*,PSI*
5447.0,654,692,PC,PC
5448.0,677,650,MP*2,MP*2
5448.0,627,635,PC,PC
5448.0,623,654,PC,PC
5448.0,654,692,PC,PC
5448.0,626,661,PC,PC
5448.0,663,696,PC,PC
5448.0,813,852,PSI*,PSI*
5449.0,626,661,PC,PC
5449.0,681,683,PC,PC
5449.0,654,692,PC,PC
5449.0,813,852,PSI*,PSI*
5450.0,681,683,PC,PC
5450.0,663,696,PC,PC
5450.0,813,852,PSI*,PSI*
5451.0,644,681,PC,PC
5451.0,809,884,PC*,PC*
5451.0,1628,1667,MP*1,MP*1
5451.0,813,838,PSI*,PSI*
5451.0,605,684,MP*2,MP*2
5451.0,605,621,MP*2,MP*2
5451.0,813,852,PSI*,PSI*
5451.0,605,699,MP*2,MP*2
5452.0,644,658,PC,PC
5452.0,1628,1667,MP*1,MP*1
5452.0,605,685,MP*2,MP*2
5452.0,629,646,MP*2,MP*2
5452.0,654,692,PC,PC
5452.0,813,852,PSI*,PSI*
5452.0,663,696,PC,PC
5453.0,1170,1613,MP*1,MP*1
5453.0,1181,1662,MP*1,MP*1
5453.0,627,635,PC,PC
5453.0,623,654,PC,PC
5453.0,813,852,PSI*,PSI*
5453.0,851,862,PSI*,PSI*
5454.0,627,663,PC,PC
5454.0,623,654,PC,PC
5454.0,663,696,PC,PC
5454.0,1628,1667,MP*1,MP*1
5454.0,654,692,PC,PC
5455.0,621,685,MP*2,MP*2
5455.0,1628,1667,MP*1,MP*1
5455.0,813,838,PSI*,PSI*
5455.0,838,852,PSI*,PSI*
5455.0,681,683,PC,PC
5455.0,605,685,MP*2,MP*2
5455.0,654,692,PC,PC
5455.0,813,852,PSI*,PSI*
5455.0,663,696,PC,PC
5455.0,623,654,PC,PC
5456.0,627,635,PC,PC
5456.0,1628,1667,MP*1,MP*1
5456.0,654,692,PC,PC
5456.0,626,661,PC,PC
5456.0,663,696,PC,PC
5456.0,623,654,PC,PC
5456.0,619,685,MP*2,MP*2
5457.0,654,692,PC,PC
5457.0,623,654,PC,PC
5457.0,619,685,MP*2,MP*2
5457.0,627,635,PC,PC
5457.0,626,661,PC,PC
5458.0,627,635,PC,PC
5458.0,1628,1667,MP*1,MP*1
5458.0,1170,1672,MP*1,MP*1
5458.0,674,677,MP*2,MP*2
5458.0,663,696,PC,PC
5458.0,623,654,PC,PC
5459.0,643,660,PC,PC
5459.0,627,635,PC,PC
5459.0,1628,1667,MP*1,MP*1
5459.0,1181,1645,MP*1,MP*1
5459.0,674,677,MP*2,MP*2
5459.0,663,696,PC,PC
5459.0,623,654,PC,PC
5460.0,684,685,MP*2,MP*2
5460.0,641,699,MP*2,MP*2
5460.0,627,635,PC,PC
5460.0,1628,1667,MP*1,MP*1
5460.0,674,677,MP*2,MP*2
5461.0,663,696,PC,PC
5461.0,627,635,PC,PC
5461.0,1628,1667,MP*1,MP*1
5462.0,1170,1613,MP*1,MP*1
5462.0,656,682,PC,PC
5462.0,627,635,PC,PC
5462.0,813,838,PSI*,PSI*
5462.0,619,699,MP*2,MP*2
5462.0,858,871,PSI*,PSI*
5462.0,656,698,PC,PC
5462.0,600,658,PC,PC
5463.0,1649,1651,MP*1,MP*1
5463.0,600,658,PC,PC
5463.0,627,635,PC,PC
5463.0,619,699,MP*2,MP*2
5463.0,646,684,MP*2,MP*2
5463.0,1667,1678,MP*1,MP*1
5463.0,656,682,PC,PC
5464.0,699,826,MP*2,PSI*
5464.0,674,691,MP*2,MP*2
5464.0,656,682,PC,PC
5464.0,643,660,PC,PC
5464.0,627,635,PC,PC
5464.0,619,826,MP*2,PSI*
5464.0,681,683,PC,PC
5464.0,619,699,MP*2,MP*2
5464.0,635,643,PC,PC
5465.0,681,682,PC,PC
5465.0,1170,1613,MP*1,MP*1
5465.0,674,691,MP*2,MP*2
5465.0,656,682,PC,PC
5465.0,663,694,PC,PC
5465.0,699,826,MP*2,PSI*
5465.0,1628,1667,MP*1,MP*1
5465.0,813,838,PSI*,PSI*
5465.0,619,826,MP*2,PSI*
5465.0,681,683,PC,PC
5465.0,651,692,PC,PC
5465.0,619,699,MP*2,MP*2
5465.0,1170,1672,MP*1,MP*1
5465.0,682,683,PC,PC
5465.0,635,643,PC,PC
5466.0,681,682,PC,PC
5466.0,1170,1613,MP*1,MP*1
5466.0,663,694,PC,PC
5466.0,1108,1601,MP*1,MP*1
5466.0,699,826,MP*2,PSI*
5466.0,1628,1667,MP*1,MP*1
5466.0,813,838,PSI*,PSI*
5466.0,619,826,MP*2,PSI*
5466.0,681,683,PC,PC
5466.0,651,692,PC,PC
5466.0,619,699,MP*2,MP*2
5466.0,643,651,PC,PC
5466.0,813,852,PSI*,PSI*
5466.0,623,654,PC,PC
5466.0,635,643,PC,PC
5466.0,600,610,PC,PC
5467.0,1170,1613,MP*1,MP*1
5467.0,682,683,PC,PC
5467.0,619,699,MP*2,MP*2
5467.0,875,895,PC*,PC*
5467.0,663,694,PC,PC
5467.0,686,696,PC,PC
5467.0,681,682,PC,PC
5467.0,619,826,MP*2,PSI*
5467.0,681,683,PC,PC
5467.0,699,826,MP*2,PSI*
5467.0,651,667,PC,PC
5467.0,813,852,PSI*,PSI*
5467.0,635,643,PC,PC
5467.0,600,610,PC,PC
5468.0,1170,1613,MP*1,MP*1
5468.0,1108,1601,MP*1,MP*1
5468.0,686,696,PC,PC
5468.0,1628,1667,MP*1,MP*1
5468.0,627,635,PC,PC
5468.0,681,682,PC,PC
5468.0,619,699,MP*2,MP*2
5468.0,646,684,MP*2,MP*2
5468.0,627,660,PC,PC
5469.0,1170,1613,MP*1,MP*1
5469.0,609,822,PC,PC*
5469.0,600,658,PC,PC
5469.0,609,819,PC,PC*
5469.0,1108,1601,MP*1,MP*1
5469.0,699,826,MP*2,PSI*
5469.0,686,696,PC,PC
5469.0,681,682,PC,PC
5469.0,619,826,MP*2,PSI*
5469.0,1108,1628,MP*1,MP*1
5469.0,619,699,MP*2,MP*2
5469.0,627,635,PC,PC
5469.0,1148,1645,MP*1,MP*1
5469.0,682,683,PC,PC
5469.0,813,852,PSI*,PSI*
5469.0,858,898,PSI*,PC*
5470.0,1613,1622,MP*1,MP*1
5470.0,644,682,PC,PC
5470.0,1170,1613,MP*1,MP*1
5470.0,686,696,PC,PC
5470.0,682,683,PC,PC
5470.0,627,635,PC,PC
5470.0,1148,1622,MP*1,MP*1
5470.0,1613,1671,MP*1,MP*1
5470.0,699,826,MP*2,PSI*
5470.0,619,699,MP*2,MP*2
5470.0,813,841,PSI*,PSI*
5470.0,654,692,PC,PC
5470.0,813,852,PSI*,PSI*
5470.0,1148,1671,MP*1,MP*1
5471.0,682,683,PC,PC
5471.0,1148,1622,MP*1,MP*1
5471.0,686,696,PC,PC
5471.0,681,682,PC,PC
5471.0,1645,1671,MP*1,MP*1
5471.0,619,699,MP*2,MP*2
5471.0,1148,1632,MP*1,MP*1
5471.0,1148,1645,MP*1,MP*1
5471.0,654,692,PC,PC
5471.0,813,852,PSI*,PSI*
5471.0,1148,1671,MP*1,MP*1
5471.0,635,643,PC,PC
5472.0,1170,1613,MP*1,MP*1
5472.0,682,683,PC,PC
5472.0,828,858,PSI*,PSI*
5472.0,619,699,MP*2,MP*2
5472.0,654,692,PC,PC
5472.0,1148,1613,MP*1,MP*1
5472.0,609,694,PC,PC
5472.0,635,643,PC,PC
5472.0,1613,1632,MP*1,MP*1
5473.0,620,674,MP*2,MP*2
5473.0,888,890,PC*,PC*
5473.0,686,696,PC,PC
5473.0,813,838,PSI*,PSI*
5473.0,838,852,PSI*,PSI*
5473.0,1148,1613,MP*1,MP*1
5473.0,654,692,PC,PC
5473.0,813,852,PSI*,PSI*
5473.0,674,677,MP*2,MP*2
5473.0,600,610,PC,PC
5474.0,1613,1660,MP*1,MP*1
5474.0,1170,1613,MP*1,MP*1
5474.0,641,685,MP*2,MP*2
5474.0,603,691,MP*2,MP*2
5474.0,1632,1671,MP*1,MP*1
5474.0,813,838,PSI*,PSI*
5474.0,838,852,PSI*,PSI*
5474.0,638,689,MP*2,MP*2
5474.0,623,654,PC,PC
5474.0,654,692,PC,PC
5474.0,813,852,PSI*,PSI*
5474.0,605,685,MP*2,MP*2
5475.0,1170,1613,MP*1,MP*1
5475.0,638,815,MP*2,PC*
5475.0,603,691,MP*2,MP*2
5475.0,623,654,PC,PC
5475.0,813,852,PSI*,PSI*
5476.0,838,841,PSI*,PSI*
5476.0,621,685,MP*2,MP*2
5476.0,638,689,MP*2,MP*2
5476.0,654,692,PC,PC
5476.0,813,852,PSI*,PSI*
5477.0,838,841,PSI*,PSI*
5477.0,638,689,MP*2,MP*2
5477.0,654,692,PC,PC
5477.0,813,852,PSI*,PSI*
5477.0,635,643,PC,PC
5478.0,1170,1613,MP*1,MP*1
5478.0,813,852,PSI*,PSI*
5478.0,638,689,MP*2,MP*2
5478.0,635,643,PC,PC
5478.0,838,852,PSI*,PSI*
5478.0,667,682,PC,PC
5478.0,838,855,PSI*,PSI*
5478.0,674,677,MP*2,MP*2
5479.0,654,696,PC,PC
5479.0,681,682,PC,PC
5479.0,838,852,PSI*,PSI*
5479.0,654,692,PC,PC
5479.0,813,852,PSI*,PSI*
5479.0,628,667,PC,PC
5480.0,827,832,PSI*,PSI*
5480.0,620,674,MP*2,MP*2
5480.0,813,855,PSI*,PSI*
5480.0,813,852,PSI*,PSI*
5480.0,617,614,MP*2,MP*2
5480.0,620,614,MP*2,MP*2
5480.0,654,696,PC,PC
5480.0,832,834,PSI*,PSI*
5480.0,611,649,MP*2,MP*2
5480.0,827,834,PSI*,PSI*
5480.0,638,655,MP*2,MP*2
5480.0,628,667,PC,PC
5481.0,827,832,PSI*,PSI*
5481.0,620,674,MP*2,MP*2
5481.0,838,852,PSI*,PSI*
5481.0,623,690,PC,PC
5481.0,654,692,PC,PC
5481.0,827,834,PSI*,PSI*
5481.0,813,852,PSI*,PSI*
5482.0,827,832,PSI*,PSI*
5482.0,620,674,MP*2,MP*2
5482.0,838,852,PSI*,PSI*
5482.0,623,690,PC,PC
5482.0,654,692,PC,PC
5482.0,813,852,PSI*,PSI*
5482.0,827,834,PSI*,PSI*
5483.0,827,832,PSI*,PSI*
5483.0,838,852,PSI*,PSI*
5483.0,813,852,PSI*,PSI*
5483.0,892,893,PC*,PC*
5484.0,620,674,MP*2,MP*2
5484.0,834,838,PSI*,PSI*
5484.0,617,614,MP*2,MP*2
5484.0,892,893,PC*,PC*
5484.0,620,677,MP*2,MP*2
5484.0,838,852,PSI*,PSI*
5484.0,611,649,MP*2,MP*2
5484.0,674,677,MP*2,MP*2
5484.0,663,696,PC,PC
5485.0,620,674,MP*2,MP*2
5485.0,665,691,MP*2,MP*2
5485.0,686,696,PC,PC
5485.0,609,613,PC,PC
5485.0,654,692,PC,PC
5485.0,674,677,MP*2,MP*2
5485.0,620,668,MP*2,MP*2
5486.0,827,832,PSI*,PSI*
5486.0,620,674,MP*2,MP*2
5486.0,852,855,PSI*,PSI*
5486.0,610,690,PC,PC
5486.0,609,613,PC,PC
5486.0,638,689,MP*2,MP*2
5486.0,681,683,PC,PC
5486.0,660,681,PC,PC
5486.0,858,871,PSI*,PSI*
5486.0,674,677,MP*2,MP*2
5486.0,617,655,MP*2,MP*2
5487.0,620,674,MP*2,MP*2
5487.0,851,860,PSI*,PSI*
5487.0,860,862,PSI*,PSI*
5487.0,620,677,MP*2,MP*2
5487.0,668,674,MP*2,MP*2
5487.0,638,689,MP*2,MP*2
5487.0,858,871,PSI*,PSI*
5487.0,1170,1672,MP*1,MP*1
5487.0,674,677,MP*2,MP*2
5487.0,617,655,MP*2,MP*2
5488.0,827,832,PSI*,PSI*
5488.0,620,674,MP*2,MP*2
5488.0,617,614,MP*2,MP*2
5488.0,620,677,MP*2,MP*2
5488.0,609,613,PC,PC
5488.0,638,689,MP*2,MP*2
5488.0,858,871,PSI*,PSI*
5488.0,1170,1672,MP*1,MP*1
5488.0,813,852,PSI*,PSI*
5488.0,674,677,MP*2,MP*2
5488.0,813,838,PSI*,PSI*
5489.0,617,614,MP*2,MP*2
5489.0,674,677,MP*2,MP*2
5489.0,620,674,MP*2,MP*2
5489.0,609,613,PC,PC
5489.0,620,677,MP*2,MP*2
5489.0,838,852,PSI*,PSI*
5489.0,638,689,MP*2,MP*2
5489.0,858,871,PSI*,PSI*
5489.0,813,852,PSI*,PSI*
5489.0,827,834,PSI*,PSI*
5490.0,620,674,MP*2,MP*2
5490.0,827,834,PSI*,PSI*
5490.0,620,677,MP*2,MP*2
5490.0,638,689,MP*2,MP*2
5490.0,635,644,PC,PC
5490.0,674,677,MP*2,MP*2
5490.0,616,635,PC,PC
5490.0,813,852,PSI*,PSI*
5491.0,620,674,MP*2,MP*2
5491.0,617,614,MP*2,MP*2
5491.0,628,661,PC,PC
5491.0,609,613,PC,PC
5491.0,620,677,MP*2,MP*2
5491.0,838,852,PSI*,PSI*
5491.0,674,677,MP*2,MP*2
5491.0,813,852,PSI*,PSI*
5491.0,616,635,PC,PC
5492.0,620,674,MP*2,MP*2
5492.0,852,855,PSI*,PSI*
5492.0,628,661,PC,PC
5492.0,620,677,MP*2,MP*2
5492.0,838,852,PSI*,PSI*
5492.0,813,852,PSI*,PSI*
5493.0,620,674,MP*2,MP*2
5493.0,628,661,PC,PC
5493.0,648,660,PC,PC
5493.0,620,677,MP*2,MP*2
5493.0,838,852,PSI*,PSI*
5493.0,660,681,PC,PC
5493.0,813,852,PSI*,PSI*
5494.0,620,674,MP*2,MP*2
5494.0,610,690,PC,PC
5494.0,648,660,PC,PC
5494.0,620,677,MP*2,MP*2
5494.0,838,852,PSI*,PSI*
5494.0,638,689,MP*2,MP*2
5494.0,623,690,PC,PC
5494.0,813,852,PSI*,PSI*
5494.0,674,677,MP*2,MP*2
5495.0,620,674,MP*2,MP*2
5495.0,1170,1613,MP*1,MP*1
5495.0,682,683,PC,PC
5495.0,617,614,MP*2,MP*2
5495.0,852,855,PSI*,PSI*
5495.0,620,677,MP*2,MP*2
5495.0,838,852,PSI*,PSI*
5495.0,638,689,MP*2,MP*2
5495.0,813,852,PSI*,PSI*
5495.0,674,677,MP*2,MP*2
5495.0,813,838,PSI*,PSI*
5496.0,620,674,MP*2,MP*2
5496.0,852,855,PSI*,PSI*
5496.0,813,855,PSI*,PSI*
5496.0,656,682,PC,PC
5496.0,617,614,MP*2,MP*2
5496.0,686,696,PC,PC
5496.0,620,677,MP*2,MP*2
5496.0,674,677,MP*2,MP*2
5496.0,813,852,PSI*,PSI*
5496.0,827,834,PSI*,PSI*
5497.0,620,674,MP*2,MP*2
5497.0,813,855,PSI*,PSI*
5497.0,628,661,PC,PC
5497.0,813,838,PSI*,PSI*
5497.0,620,677,MP*2,MP*2
5497.0,674,677,MP*2,MP*2
5497.0,813,852,PSI*,PSI*
5498.0,827,832,PSI*,PSI*
5498.0,629,655,MP*2,MP*2
5498.0,852,855,PSI*,PSI*
5498.0,813,855,PSI*,PSI*
5498.0,827,834,PSI*,PSI*
5498.0,620,674,MP*2,MP*2
5498.0,813,838,PSI*,PSI*
5498.0,638,689,MP*2,MP*2
5498.0,660,681,PC,PC
5498.0,813,852,PSI*,PSI*
5498.0,674,677,MP*2,MP*2
5498.0,617,650,MP*2,MP*2
5499.0,827,832,PSI*,PSI*
5499.0,620,674,MP*2,MP*2
5499.0,620,677,MP*2,MP*2
5499.0,660,681,PC,PC
5499.0,620,638,MP*2,MP*2
5500.0,628,661,PC,PC
5500.0,827,834,PSI*,PSI*
5500.0,660,681,PC,PC
5501.0,628,661,PC,PC
5501.0,834,855,PSI*,PSI*
5501.0,827,834,PSI*,PSI*
5501.0,660,681,PC,PC
5502.0,628,661,PC,PC
5503.0,623,690,PC,PC
5504.0,1170,1672,MP*1,MP*1
5504.0,623,690,PC,PC
5505.0,681,682,PC,PC
5505.0,610,690,PC,PC
5506.0,681,682,PC,PC
5507.0,629,655,MP*2,MP*2
5507.0,660,681,PC,PC
5507.0,609,613,PC,PC
5508.0,609,613,PC,PC
5508.0,663,694,PC,PC
5508.0,858,866,PSI*,PSI*
5509.0,661,690,PC,PC
5509.0,610,690,PC,PC
5510.0,681,682,PC,PC
5510.0,628,661,PC,PC
5510.0,660,681,PC,PC
5511.0,827,832,PSI*,PSI*
5511.0,660,681,PC,PC
5511.0,858,866,PSI*,PSI*
5511.0,616,644,PC,PC
5512.0,660,681,PC,PC
5512.0,600,610,PC,PC
5512.0,858,866,PSI*,PSI*
5512.0,616,644,PC,PC
5513.0,827,834,PSI*,PSI*
5513.0,858,866,PSI*,PSI*
5514.0,858,866,PSI*,PSI*
5514.0,813,838,PSI*,PSI*
5514.0,838,852,PSI*,PSI*
5514.0,1170,1672,MP*1,MP*1
5515.0,858,866,PSI*,PSI*
5515.0,623,654,PC,PC
5515.0,610,690,PC,PC
5516.0,654,692,PC,PC
5516.0,827,834,PSI*,PSI*
5516.0,610,690,PC,PC
5516.0,858,866,PSI*,PSI*
5517.0,654,692,PC,PC
5517.0,858,866,PSI*,PSI*
5517.0,660,681,PC,PC
5517.0,610,690,PC,PC
5518.0,654,692,PC,PC
5518.0,858,866,PSI*,PSI*
5518.0,660,681,PC,PC
5518.0,610,690,PC,PC
5519.0,858,866,PSI*,PSI*
5519.0,610,690,PC,PC
5520.0,610,690,PC,PC
5520.0,858,866,PSI*,PSI*
5521.0,1148,1686,MP*1,MP*1
5521.0,610,690,PC,PC
5522.0,1148,1686,MP*1,MP*1
5523.0,654,692,PC,PC
5523.0,623,654,PC,PC
5523.0,648,660,PC,PC
5524.0,623,654,PC,PC
5524.0,610,690,PC,PC
5525.0,610,690,PC,PC
5525.0,648,660,PC,PC
5525.0,654,692,PC,PC
5525.0,623,654,PC,PC
5525.0,663,696,PC,PC
5526.0,623,654,PC,PC
5526.0,648,660,PC,PC
5526.0,654,692,PC,PC
5526.0,610,690,PC,PC
5527.0,623,654,PC,PC
5527.0,610,690,PC,PC
5528.0,623,654,PC,PC
5528.0,610,690,PC,PC
5529.0,623,654,PC,PC
5529.0,682,683,PC,PC
5529.0,610,690,PC,PC
5530.0,609,613,PC,PC
5530.0,623,654,PC,PC
5531.0,827,832,PSI*,PSI*
5531.0,609,613,PC,PC
5531.0,623,654,PC,PC
5531.0,648,660,PC,PC
5532.0,623,654,PC,PC
5532.0,648,660,PC,PC
5532.0,858,866,PSI*,PSI*
5533.0,623,654,PC,PC
5533.0,682,683,PC,PC
5533.0,648,660,PC,PC
5534.0,623,654,PC,PC
5534.0,648,660,PC,PC
5534.0,858,866,PSI*,PSI*
5534.0,610,690,PC,PC
5535.0,623,654,PC,PC
5535.0,660,681,PC,PC
5535.0,648,660,PC,PC
5536.0,609,613,PC,PC
5536.0,623,654,PC,PC
5537.0,623,654,PC,PC
5537.0,858,866,PSI*,PSI*
5537.0,682,683,PC,PC
5537.0,648,660,PC,PC
5537.0,610,690,PC,PC
5538.0,609,613,PC,PC
5538.0,623,654,PC,PC
5538.0,682,683,PC,PC
5539.0,609,613,PC,PC
5539.0,623,654,PC,PC
5539.0,682,683,PC,PC
5540.0,609,613,PC,PC
5540.0,682,683,PC,PC
5541.0,682,683,PC,PC
5541.0,858,866,PSI*,PSI*
5541.0,609,613,PC,PC
5541.0,660,681,PC,PC
5541.0,623,654,PC,PC
5541.0,663,696,PC,PC
5542.0,1170,1672,MP*1,MP*1
5542.0,623,654,PC,PC
5542.0,660,681,PC,PC
5543.0,609,613,PC,PC
5543.0,623,654,PC,PC
5543.0,1170,1672,MP*1,MP*1
5544.0,1170,1672,MP*1,MP*1
5544.0,623,654,PC,PC
5544.0,682,683,PC,PC
5544.0,813,852,PSI*,PSI*
5544.0,858,866,PSI*,PSI*
5545.0,623,654,PC,PC
5545.0,660,681,PC,PC
5546.0,609,613,PC,PC
5546.0,623,654,PC,PC
5546.0,660,681,PC,PC
5546.0,682,683,PC,PC
5547.0,827,832,PSI*,PSI*
5547.0,623,654,PC,PC
5548.0,654,692,PC,PC
5548.0,623,654,PC,PC
5548.0,600,610,PC,PC
5549.0,623,654,PC,PC
5549.0,660,681,PC,PC
5550.0,827,832,PSI*,PSI*
5550.0,623,654,PC,PC
5550.0,648,660,PC,PC
5550.0,660,681,PC,PC
5550.0,858,866,PSI*,PSI*
5551.0,827,832,PSI*,PSI*
5551.0,654,692,PC,PC
5551.0,660,681,PC,PC
5551.0,623,690,PC,PC
5551.0,648,660,PC,PC
5552.0,827,832,PSI*,PSI*
5552.0,654,692,PC,PC
5552.0,660,681,PC,PC
5552.0,648,660,PC,PC
5553.0,827,832,PSI*,PSI*
5553.0,660,681,PC,PC
5553.0,682,683,PC,PC
5553.0,648,660,PC,PC
5554.0,827,832,PSI*,PSI*
5554.0,682,683,PC,PC
5554.0,648,660,PC,PC
5555.0,827,832,PSI*,PSI*
5555.0,682,683,PC,PC
5556.0,682,683,PC,PC
5557.0,827,832,PSI*,PSI*
5557.0,628,661,PC,PC
5557.0,682,683,PC,PC
5558.0,827,832,PSI*,PSI*
5558.0,628,661,PC,PC
5558.0,682,683,PC,PC
5559.0,827,832,PSI*,PSI*
5559.0,628,661,PC,PC
5559.0,682,683,PC,PC
5560.0,827,832,PSI*,PSI*
5560.0,628,661,PC,PC
5560.0,623,654,PC,PC
5560.0,682,683,PC,PC
5561.0,827,832,PSI*,PSI*
5561.0,654,692,PC,PC
5562.0,827,832,PSI*,PSI*
5562.0,682,683,PC,PC
5562.0,628,661,PC,PC
5563.0,827,832,PSI*,PSI*
5563.0,682,683,PC,PC
5563.0,628,661,PC,PC
5563.0,623,690,PC,PC
5563.0,1170,1672,MP*1,MP*1
5564.0,827,832,PSI*,PSI*
5564.0,682,683,PC,PC
5564.0,1613,1672,MP*1,MP*1
5564.0,610,690,PC,PC
5564.0,628,661,PC,PC
5564.0,623,690,PC,PC
5564.0,1170,1672,MP*1,MP*1
5565.0,628,661,PC,PC
5565.0,1170,1672,MP*1,MP*1
5565.0,682,683,PC,PC
5565.0,623,690,PC,PC
5566.0,628,661,PC,PC
5566.0,623,690,PC,PC
5566.0,1170,1672,MP*1,MP*1
5566.0,623,654,PC,PC
5567.0,628,661,PC,PC
5567.0,682,683,PC,PC
5567.0,1170,1672,MP*1,MP*1
5568.0,827,832,PSI*,PSI*
5568.0,682,683,PC,PC
5568.0,1170,1672,MP*1,MP*1
5569.0,827,832,PSI*,PSI*
5569.0,623,654,PC,PC
5570.0,623,654,PC,PC
5570.0,682,683,PC,PC
5570.0,610,690,PC,PC
5571.0,682,683,PC,PC
5571.0,654,692,PC,PC
5571.0,623,654,PC,PC
5571.0,663,696,PC,PC
5572.0,827,832,PSI*,PSI*
5572.0,682,683,PC,PC
5572.0,623,690,PC,PC
5572.0,654,692,PC,PC
